Training information

epoch, accuracy, MSE, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0,0.63345, 0.08778412652010868, 1.0,1.0,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.98
1,0.8210666666666666, 0.03631329683574969, 1.0,1.0,0.99,0.99,0.99,0.99,1.0,0.99,1.0,0.99
2,0.8579333333333333, 0.028013572697998954, 1.0,1.0,1.0,0.99,0.99,1.0,1.0,0.99,1.0,0.99
3,0.8808666666666667, 0.022906376152062407, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
4,0.8956, 0.019635131934673856, 1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99
5,0.9062833333333333, 0.01731399084628024, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.9153833333333333, 0.015313565360577795, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.9216333333333333, 0.013985681612110445, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9276833333333333, 0.012722937568539313, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.93155, 0.011643894430147324, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.9375833333333333, 0.01067166135021934, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.9409166666666666, 0.009797806687690168, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.9451666666666667, 0.008958722988934062, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.9475666666666667, 0.008256453094273114, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.95215, 0.007647004963658305, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.95515, 0.0071395116996015254, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.9571166666666666, 0.0068301826987589645, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.9607166666666667, 0.006262970441117097, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.96305, 0.005761841883601519, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.9657, 0.0055302652978369525, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.9685666666666667, 0.005110796991738709, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
